symptom,department
"chest pain and shortness of breath",Cardiology
"rashes and itching on skin",Dermatology
"persistent cough and wheezing",Pulmonology
"frequent headaches and blurred vision",Neurology
"stomach pain and nausea",Gastroenterology
"joint pain and stiffness",Orthopedics
"ear pain and hearing loss",ENT
"toothache and swollen gums",Dentistry
"skin infection and boils",Dermatology
"dizziness and fainting",Neurology
"chest tightness and palpitations",Cardiology
"eczema and dry skin",Dermatology
"chronic cough and fatigue",Pulmonology
"migraines and light sensitivity",Neurology
"abdominal cramps and diarrhea",Gastroenterology
"shoulder pain and limited mobility",Orthopedics
"tinnitus and ear fullness",ENT
"dental abscess and jaw pain",Dentistry
"acne and scarring",Dermatology
"vertigo and balance issues",Neurology
"irregular heartbeat and fatigue",Cardiology
"psoriasis and flaky skin",Dermatology
"shortness of breath and chest congestion",Pulmonology
"seizures and confusion",Neurology
"bloating and acid reflux",Gastroenterology
"knee pain and swelling",Orthopedics
"sinus pain and nasal congestion",ENT
"tooth sensitivity and bleeding gums",Dentistry
"fungal skin infection and redness",Dermatology
"memory loss and disorientation",Neurology
"angina and sweating",Cardiology
"contact dermatitis and blisters",Dermatology
"bronchitis and fever",Pulmonology
"numbness and tingling in hands",Neurology
"vomiting and dehydration",Gastroenterology
"back pain and muscle spasms",Orthopedics
"hearing difficulty and ear discharge",ENT
"oral ulcers and bad breath",Dentistry
"cellulitis and swelling",Dermatology
"syncope and low blood pressure",Neurology
"heartburn and chest discomfort",Cardiology
"urticaria and hives",Dermatology
"asthma and difficulty breathing",Pulmonology
"tremors and muscle weakness",Neurology
"constipation and abdominal pain",Gastroenterology
"arthritis and joint swelling",Orthopedics
"tonsillitis and sore throat",ENT
"gingivitis and tooth decay",Dentistry
"rosacea and facial redness",Dermatology
"insomnia and memory issues",Neurology
"high blood pressure and chest pain",Cardiology
"itching and skin peeling",Dermatology
"emphysema and chronic cough",Pulmonology
"vision loss and eye pain",Neurology
"ulcers and stomach discomfort",Gastroenterology
"hip pain and stiffness",Orthopedics
"ear infection and fever",ENT
"tooth fracture and sensitivity",Dentistry
"warts and skin growths",Dermatology
"balance problems and nausea",Neurology
"atrial fibrillation and fatigue",Cardiology
"allergic dermatitis and swelling",Dermatology
"lung infection and chest pain",Pulmonology
"neuropathy and burning sensation",Neurology
"irritable bowel and bloating",Gastroenterology
"ankle sprain and swelling",Orthopedics
"chronic sinusitis and headache",ENT
"periodontitis and loose teeth",Dentistry
"melanoma and skin changes",Dermatology
"epilepsy and seizures",Neurology
"heart palpitations and dizziness",Cardiology
"lichen planus and oral sores",Dermatology
"pleurisy and sharp chest pain",Pulmonology
"chronic migraines and nausea",Neurology
