Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Acetostatin,Analgesic,Inhaler,184 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter
Acetostatin,Antipyretic,Drops,810 mg,Pfizer Inc.,Infection,Prescription
Acetomycin,Antiviral,Tablet,176 mg,Biogen Inc.,Wound,Prescription
Dolocillin,Antidiabetic,Tablet,539 mg,AbbVie Inc.,Pain,Prescription
Ibuprocillin,Analgesic,Capsule,369 mg,Bayer AG,Fungus,Prescription
Dextrophen,Antipyretic,Tablet,973 mg,GlaxoSmithKline plc,Fever,Prescription
Dolophen,Analgesic,Syrup,451 mg,"Merck & Co., Inc.",Fungus,Prescription
Dextromet,Antiseptic,Tablet,368 mg,AstraZeneca plc,Fever,Over-the-Counter
Doloprofen,Antifungal,Injection,338 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter
Metonazole,Antidiabetic,Inhaler,577 mg,Novartis AG,Infection,Over-the-Counter
Dolomycin,Antipyretic,Cream,93 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Metostatin,Antifungal,Tablet,215 mg,CSL Limited,Depression,Over-the-Counter
Clarinazole,Antidiabetic,Ointment,589 mg,Novartis AG,Depression,Over-the-Counter
Acetonazole,Antidiabetic,Cream,547 mg,Johnson & Johnson,Wound,Over-the-Counter
Cefvir,Antidepressant,Capsule,934 mg,Eli Lilly and Company,Virus,Over-the-Counter
Ibupromet,Analgesic,Injection,259 mg,Eli Lilly and Company,Diabetes,Prescription
Amoxivir,Antipyretic,Syrup,752 mg,Pfizer Inc.,Virus,Prescription
Metovir,Antifungal,Ointment,440 mg,Biogen Inc.,Wound,Prescription
Amoxinazole,Antidepressant,Syrup,491 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter
Metostatin,Antidepressant,Injection,197 mg,Pfizer Inc.,Depression,Over-the-Counter
Metoprofen,Antibiotic,Injection,76 mg,CSL Limited,Fever,Prescription
Dextromet,Antiviral,Tablet,11 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Dextrovir,Antibiotic,Tablet,720 mg,Eli Lilly and Company,Wound,Prescription
Dextromet,Antibiotic,Syrup,446 mg,GlaxoSmithKline plc,Diabetes,Prescription
Clarimet,Antipyretic,Tablet,182 mg,AbbVie Inc.,Virus,Prescription
Metoprofen,Antidiabetic,Drops,691 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter
Dextrocillin,Antidiabetic,Ointment,424 mg,Roche Holding AG,Fungus,Prescription
Cefvir,Antiseptic,Drops,793 mg,Roche Holding AG,Pain,Over-the-Counter
Metomycin,Antidepressant,Tablet,205 mg,Johnson & Johnson,Depression,Over-the-Counter
Doloprofen,Antidepressant,Drops,934 mg,Bayer AG,Fungus,Prescription
Cefcillin,Analgesic,Capsule,755 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter
Cefmycin,Antipyretic,Drops,966 mg,Bristol-Myers Squibb Company,Depression,Prescription
Metocillin,Antipyretic,Inhaler,293 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Cefcillin,Antiviral,Inhaler,488 mg,Bayer AG,Infection,Prescription
Dextronazole,Antiviral,Syrup,165 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Dextromycin,Antibiotic,Tablet,698 mg,AbbVie Inc.,Depression,Prescription
Clarivir,Antidepressant,Cream,464 mg,"Gilead Sciences, Inc.",Infection,Prescription
Cefcillin,Antidiabetic,Inhaler,750 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Amoxivir,Antidepressant,Capsule,300 mg,Novo Nordisk A/S,Diabetes,Prescription
Cefphen,Antiseptic,Cream,722 mg,AbbVie Inc.,Pain,Over-the-Counter
Metovir,Antidepressant,Drops,910 mg,Roche Holding AG,Diabetes,Over-the-Counter
Clarimet,Antiseptic,Inhaler,743 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter
Metomet,Antifungal,Cream,749 mg,Amgen Inc.,Fungus,Prescription
Dextromet,Antibiotic,Inhaler,448 mg,Eli Lilly and Company,Pain,Prescription
Metonazole,Antidiabetic,Injection,71 mg,"Gilead Sciences, Inc.",Infection,Prescription
Dextrocillin,Antiviral,Injection,707 mg,Boehringer Ingelheim GmbH,Infection,Prescription
Amoxistatin,Antiseptic,Injection,160 mg,Johnson & Johnson,Depression,Prescription
Dextrostatin,Antifungal,Inhaler,185 mg,"Merck & Co., Inc.",Depression,Over-the-Counter
Dextroprofen,Antifungal,Cream,730 mg,Bayer AG,Virus,Over-the-Counter
Ibuproprofen,Antidiabetic,Tablet,403 mg,Bristol-Myers Squibb Company,Depression,Prescription
Dolomycin,Analgesic,Ointment,292 mg,Eli Lilly and Company,Diabetes,Prescription
Cefprofen,Antiviral,Capsule,135 mg,Takeda Pharmaceutical Company Limited,Infection,Prescription
Amoxinazole,Antifungal,Inhaler,279 mg,Takeda Pharmaceutical Company Limited,Fever,Prescription
Acetovir,Antifungal,Inhaler,822 mg,AstraZeneca plc,Infection,Over-the-Counter
Cefmycin,Antiviral,Syrup,110 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Dextrocillin,Antibiotic,Tablet,896 mg,Bristol-Myers Squibb Company,Diabetes,Prescription
Dolocillin,Antidepressant,Tablet,968 mg,Novo Nordisk A/S,Infection,Prescription
Dextronazole,Analgesic,Inhaler,431 mg,Sanofi S.A.,Diabetes,Prescription
Amoxiprofen,Antifungal,Tablet,474 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Ibupromet,Antifungal,Capsule,169 mg,AstraZeneca plc,Virus,Prescription
Clarimet,Antibiotic,Drops,396 mg,AbbVie Inc.,Fungus,Prescription
Amoxistatin,Antipyretic,Capsule,419 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Amoxivir,Antipyretic,Inhaler,556 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Metostatin,Antidepressant,Tablet,277 mg,Johnson & Johnson,Virus,Prescription
Metovir,Antifungal,Syrup,805 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Dextronazole,Antiviral,Ointment,861 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Cefmet,Antidiabetic,Drops,557 mg,Novartis AG,Fever,Prescription
Cefmycin,Antiviral,Capsule,523 mg,CSL Limited,Virus,Prescription
Amoxinazole,Antifungal,Ointment,686 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Acetomet,Antipyretic,Syrup,511 mg,Johnson & Johnson,Diabetes,Over-the-Counter
Metocillin,Antiseptic,Injection,74 mg,Boehringer Ingelheim GmbH,Infection,Prescription
Metovir,Antidiabetic,Tablet,283 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Clarinazole,Antidepressant,Tablet,667 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter
Clarimet,Antidepressant,Ointment,166 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Clariprofen,Antipyretic,Tablet,260 mg,Biogen Inc.,Wound,Prescription
Ibuprovir,Antidepressant,Injection,472 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter
Acetophen,Antiviral,Capsule,553 mg,Johnson & Johnson,Wound,Prescription
Metocillin,Antiseptic,Tablet,314 mg,Bayer AG,Diabetes,Over-the-Counter
Acetostatin,Antidiabetic,Capsule,322 mg,AstraZeneca plc,Infection,Over-the-Counter
Metonazole,Antipyretic,Tablet,427 mg,Takeda Pharmaceutical Company Limited,Virus,Prescription
Dolovir,Antiseptic,Syrup,594 mg,Pfizer Inc.,Virus,Prescription
Amoxivir,Antibiotic,Capsule,819 mg,AstraZeneca plc,Depression,Prescription
Amoxiprofen,Antidiabetic,Injection,509 mg,AstraZeneca plc,Pain,Prescription
Amoxiprofen,Antidepressant,Tablet,761 mg,Bristol-Myers Squibb Company,Fever,Prescription
Dolovir,Antipyretic,Capsule,292 mg,Bristol-Myers Squibb Company,Fever,Prescription
Metophen,Antipyretic,Drops,291 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Amoximet,Antifungal,Ointment,387 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter
Dextronazole,Antidepressant,Cream,745 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Dextrophen,Antipyretic,Inhaler,725 mg,GlaxoSmithKline plc,Depression,Prescription
Ibupromycin,Antipyretic,Inhaler,972 mg,AstraZeneca plc,Fungus,Over-the-Counter
Amoximet,Antipyretic,Injection,660 mg,Roche Holding AG,Fever,Prescription
Dextrocillin,Antiseptic,Tablet,807 mg,Eli Lilly and Company,Fever,Prescription
Dextronazole,Antidepressant,Cream,907 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription
Clariphen,Antidiabetic,Ointment,27 mg,Roche Holding AG,Infection,Over-the-Counter
Dextromycin,Antiviral,Capsule,510 mg,AbbVie Inc.,Fungus,Over-the-Counter
Dextrovir,Antipyretic,Drops,574 mg,CSL Limited,Fungus,Over-the-Counter
Dolostatin,Antiseptic,Inhaler,520 mg,Novo Nordisk A/S,Depression,Prescription
Cefmycin,Analgesic,Drops,215 mg,"Gilead Sciences, Inc.",Pain,Prescription
Dolonazole,Analgesic,Capsule,970 mg,CSL Limited,Virus,Over-the-Counter
Acetomycin,Antidepressant,Cream,954 mg,GlaxoSmithKline plc,Depression,Prescription
Cefmycin,Antiviral,Capsule,294 mg,CSL Limited,Virus,Prescription
Dolostatin,Antifungal,Inhaler,234 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Cefmet,Antidiabetic,Syrup,156 mg,Johnson & Johnson,Fungus,Over-the-Counter
Acetomet,Antiseptic,Syrup,179 mg,AstraZeneca plc,Infection,Prescription
Dolophen,Antipyretic,Capsule,540 mg,Novartis AG,Diabetes,Prescription
Amoxivir,Antiseptic,Ointment,994 mg,Sanofi S.A.,Virus,Over-the-Counter
Dextrovir,Antifungal,Tablet,427 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Cefcillin,Antidiabetic,Syrup,82 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Doloprofen,Antifungal,Injection,533 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription
Clarivir,Antiseptic,Tablet,197 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription
Dextrovir,Antiviral,Injection,169 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Ibupromycin,Analgesic,Capsule,46 mg,Amgen Inc.,Fungus,Over-the-Counter
Cefmycin,Antibiotic,Tablet,5 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Amoxistatin,Antiseptic,Drops,151 mg,Novo Nordisk A/S,Wound,Over-the-Counter
Dextroprofen,Antipyretic,Ointment,814 mg,AstraZeneca plc,Fungus,Prescription
