Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification,Chemical_Name
Acetostatin,Analgesic,Inhaler,184 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter,Paracetamol
Acetostatin,Antipyretic,Drops,810 mg,Pfizer Inc.,Infection,Prescription,Paracetamol
Acetomycin,Antiviral,Tablet,176 mg,Biogen Inc.,Wound,Prescription,Amoxicillin
Dolocillin,Antidiabetic,Tablet,539 mg,AbbVie Inc.,Pain,Prescription,Ibuprofen
Ibuprocillin,Analgesic,Capsule,369 mg,Bayer AG,Fungus,Prescription,Ibuprofen
Dextrophen,Antipyretic,Tablet,973 mg,GlaxoSmithKline plc,Fever,Prescription,Dextromethorphan
Dolophen,Analgesic,Syrup,451 mg,"Merck & Co., Inc.",Fungus,Prescription,Paracetamol
Dextromet,Antiseptic,Tablet,368 mg,AstraZeneca plc,Fever,Over-the-Counter,Dextromethorphan
Doloprofen,Antifungal,Injection,338 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter,Ibuprofen
Metonazole,Antidiabetic,Inhaler,577 mg,Novartis AG,Infection,Over-the-Counter,Metronidazole
Dolomycin,Antipyretic,Cream,93 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter,Amoxicillin
Metostatin,Antifungal,Tablet,215 mg,CSL Limited,Depression,Over-the-Counter,Metformin
Clarinazole,Antidiabetic,Ointment,589 mg,Novartis AG,Depression,Over-the-Counter,Clarithromycin
Acetonazole,Antidiabetic,Cream,547 mg,Johnson & Johnson,Wound,Over-the-Counter,Ketoconazole
Cefvir,Antidepressant,Capsule,934 mg,Eli Lilly and Company,Virus,Over-the-Counter,Cefixime
Ibupromet,Analgesic,Injection,259 mg,Eli Lilly and Company,Diabetes,Prescription,Ibuprofen
Amoxivir,Antipyretic,Syrup,752 mg,Pfizer Inc.,Virus,Prescription,Amoxicillin
Metovir,Antifungal,Ointment,440 mg,Biogen Inc.,Wound,Prescription,Metformin
Amoxinazole,Antidepressant,Syrup,491 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter,Amoxicillin
Metostatin,Antidepressant,Injection,197 mg,Pfizer Inc.,Depression,Over-the-Counter,Metformin
Metoprofen,Antibiotic,Injection,76 mg,CSL Limited,Fever,Prescription,Metformin
Dextromet,Antiviral,Tablet,11 mg,Bristol-Myers Squibb Company,Fungus,Prescription,Dextromethorphan
Dextrovir,Antibiotic,Tablet,720 mg,Eli Lilly and Company,Wound,Prescription,Dextromethorphan
